,PeakNumber,startTime,endTime,peakMaxTime,File,Mass,Group,Group_by_ChromAlignNet,AlignedTime,RealAlignedTime
0,0,14.554,14.665,14.615,0,92,0,0,14.617083014540764,14.61697520364879
1,1,14.853,14.977,14.91,0,92,2,3,14.914732747717288,14.914879540385458
2,2,14.987,15.078,15.061,0,92,3,5,15.060365429256013,15.070493807790394
3,3,15.081,15.128,15.081,0,92,3,6,15.098255557757403,15.070493807790394
4,4,16.094,16.225,16.151,0,92,10,17,16.15218983247317,16.152190932644274
5,5,17.017,17.118,17.077,0,92,18,27,17.084047987750232,17.077882848962304
6,6,17.121,17.285,17.175,0,92,19,28,17.17887714813634,17.178833528047246
7,7,17.373,17.477,17.426,0,92,20,31,17.421538031378084,17.42194889563897
8,0,14.921,14.932,14.927999999999999,1,92,2,3,14.914732747717288,14.914879540385458
9,1,14.989,15.109000000000002,15.049000000000001,1,92,3,5,15.060365429256013,15.070493807790394
10,2,15.267000000000001,15.354000000000001,15.300999999999998,1,92,5,10,15.297791348061047,15.297791348061047
11,3,15.559000000000001,15.74,15.619000000000002,1,92,6,12,15.614688706698338,15.615016400515374
12,4,15.837,15.931,15.874,1,92,8,14,15.887785600536125,15.8707250973198
13,5,15.968,16.092,16.039,1,92,9,15,16.008996684978747,16.03531639732246
14,6,16.096,16.21,16.149,1,92,10,17,16.15218983247317,16.152190932644274
15,7,16.723,16.797,16.773,1,92,15,23,16.768314623435607,16.76831462343561
16,8,16.8,16.877,16.827,1,92,16,25,16.86693692571636,16.82503476397018
17,9,16.884,16.951,16.918,1,92,17,26,16.908535934317765,16.908535934317765
18,10,17.002,17.122,17.079,1,92,18,27,17.084047987750232,17.077882848962304
19,11,17.125999999999998,17.3,17.176,1,92,19,28,17.17887714813634,17.178833528047246
20,12,17.377,17.428,17.428,1,92,20,31,17.421538031378084,17.42194889563897
21,0,14.61,14.65,14.613,2,92,0,0,14.617083014540764,14.61697520364879
22,1,14.857999999999999,14.975999999999999,14.905,2,92,2,3,14.914732747717288,14.914879540385458
23,2,14.989,15.11,15.05,2,92,3,5,15.060365429256013,15.070493807790394
24,3,15.562999999999999,15.717,15.613,2,92,6,12,15.614688706698338,15.615016400515374
25,4,15.770999999999999,15.821,15.821,2,92,7,14,15.887785600536125,15.81542460405248
26,5,15.845,15.919,15.872,2,92,8,15,16.008996684978747,15.8707250973198
27,6,15.985999999999999,16.086,16.033,2,92,9,16,16.035956669420155,16.03531639732246
28,7,16.093,16.21,16.15,2,92,10,17,16.15218983247317,16.152190932644274
29,8,16.301,16.425,16.382,2,92,12,19,16.39376036963959,16.38191514747558
30,9,16.442,16.502,16.442,2,92,13,20,16.448454631799272,16.448454631799272
31,10,16.506,16.583,16.535999999999998,2,92,14,21,16.54003087125514,16.54003087125514
32,11,17.002,17.12,17.076,2,92,18,27,17.084047987750232,17.077882848962304
33,12,17.123,17.254,17.173,2,92,19,28,17.17887714813634,17.178833528047246
34,13,17.375,17.479,17.425,2,92,20,31,17.421538031378084,17.42194889563897
35,0,14.555,14.659,14.609000000000002,3,92,0,0,14.617083014540764,14.61697520364879
36,1,14.854000000000001,14.981,14.907,3,92,2,3,14.914732747717288,14.914879540385458
37,2,14.988,15.115,15.052,3,92,3,5,15.060365429256013,15.070493807790394
38,3,15.517999999999999,15.699000000000002,15.612,3,92,6,12,15.614688706698338,15.615016400515374
39,4,15.77,15.817,15.812999999999999,3,92,7,14,15.887785600536125,15.81542460405248
40,5,15.84,15.914000000000001,15.87,3,92,8,15,16.008996684978747,15.8707250973198
41,6,15.994000000000002,16.078,16.031,3,92,9,16,16.035956669420155,16.03531639732246
42,7,16.095,16.206,16.149,3,92,10,17,16.15218983247317,16.152190932644274
43,8,16.719,16.793,16.766,3,92,15,23,16.768314623435607,16.76831462343561
44,9,16.796,16.867,16.823,3,92,16,25,16.86693692571636,16.82503476397018
45,10,17.118,17.249000000000002,17.172,3,92,19,27,17.084047987750232,17.178833528047246
46,0,14.855,14.919,14.899000000000001,4,92,2,3,14.914732747717288,14.914879540385458
47,1,14.979000000000001,15.1,15.036,4,92,3,5,15.060365429256013,15.070493807790394
48,2,15.247,15.338,15.288,4,92,5,10,15.297791348061047,15.297791348061047
49,3,15.543,15.731,15.603,4,92,6,12,15.614688706698338,15.615016400515374
50,4,15.825,15.912,15.860999999999999,4,92,8,14,15.887785600536125,15.8707250973198
51,5,15.969000000000001,16.08,16.026,4,92,9,15,16.008996684978747,16.03531639732246
52,6,16.086,16.19,16.14,4,92,10,17,16.15218983247317,16.152190932644274
53,7,16.214000000000002,16.274,16.244,4,92,11,18,16.22983361429619,16.25402327528519
54,8,16.294,16.422,16.368,4,92,12,19,16.39376036963959,16.38191514747558
55,9,16.432000000000002,16.512,16.442,4,92,13,20,16.448454631799272,16.448454631799272
56,10,16.71,16.781,16.757,4,92,15,23,16.768314623435607,16.76831462343561
57,11,16.784000000000002,16.858,16.811,4,92,16,25,16.86693692571636,16.82503476397018
58,12,16.985,17.113,17.066,4,92,18,27,17.084047987750232,17.077882848962304
59,13,17.116,17.23,17.163,4,92,19,28,17.17887714813634,17.178833528047246
60,14,17.354,17.485,17.408,4,92,20,31,17.421538031378084,17.42194889563897
61,0,14.544,14.587,14.584000000000001,5,92,0,0,14.617083014540764,14.61697520364879
62,1,14.587,14.664000000000001,14.610999999999999,5,92,0,1,14.610999999999999,14.61697520364879
63,2,14.852,14.98,14.905999999999999,5,92,2,3,14.914732747717288,14.914879540385458
64,3,14.985999999999999,15.117,15.057,5,92,3,5,15.060365429256013,15.070493807790394
65,4,15.127,15.174000000000001,15.130999999999998,5,92,4,8,15.136924726796751,15.151234637803341
66,5,15.56,15.690999999999999,15.614,5,92,6,12,15.614688706698338,15.615016400515374
67,6,15.842,15.925999999999998,15.872,5,92,8,14,15.887785600536125,15.8707250973198
68,7,15.985999999999999,16.087,16.037,5,92,9,15,16.008996684978747,16.03531639732246
69,8,16.097,16.208,16.151,5,92,10,17,16.15218983247317,16.152190932644274
70,9,16.442999999999998,16.486,16.445999999999998,5,92,13,20,16.448454631799272,16.448454631799272
71,10,16.506,16.577,16.537,5,92,14,21,16.54003087125514,16.54003087125514
72,11,16.730999999999998,16.792,16.768,5,92,15,23,16.768314623435607,16.76831462343561
73,12,17.033,17.12,17.077,5,92,18,27,17.084047987750232,17.077882848962304
74,13,17.124000000000002,17.248,17.174,5,92,19,28,17.17887714813634,17.178833528047246
75,0,14.542,14.659,14.609000000000002,6,92,0,0,14.617083014540764,14.61697520364879
76,1,14.844000000000001,14.978,14.901,6,92,2,3,14.914732747717288,14.914879540385458
77,2,14.985,15.112,15.059000000000001,6,92,3,5,15.060365429256013,15.070493807790394
78,3,15.545,15.716,15.609000000000002,6,92,6,12,15.614688706698338,15.615016400515374
79,4,15.76,15.837,15.807,6,92,7,14,15.887785600536125,15.81542460405248
80,5,15.841,15.924000000000001,15.867,6,92,8,15,16.008996684978747,15.8707250973198
81,6,15.985,16.072,16.028,6,92,9,16,16.035956669420155,16.03531639732246
82,7,16.089000000000002,16.213,16.142,6,92,10,17,16.15218983247317,16.152190932644274
83,8,16.293,16.424,16.367,6,92,12,19,16.39376036963959,16.38191514747558
84,9,16.491,16.579,16.535,6,92,14,21,16.54003087125514,16.54003087125514
85,10,16.582,16.622,16.622,6,92,-1,22,16.622508032428158,16.622
86,11,16.715999999999998,16.79,16.762999999999998,6,92,15,23,16.768314623435607,16.76831462343561
87,12,16.793,16.86,16.82,6,92,16,25,16.86693692571636,16.82503476397018
88,13,16.864,16.954,16.901,6,92,17,26,16.908535934317765,16.908535934317765
89,14,17.035,17.109,17.072,6,92,18,27,17.084047987750232,17.077882848962304
90,15,17.115,17.236,17.169,6,92,19,28,17.17887714813634,17.178833528047246
91,0,14.565,14.675999999999998,14.619000000000002,7,92,0,0,14.617083014540764,14.61697520364879
92,1,14.86,14.991,14.917,7,92,2,3,14.914732747717288,14.914879540385458
93,2,14.998,15.095,15.078,7,92,3,5,15.060365429256013,15.070493807790394
94,3,15.097999999999999,15.149000000000001,15.102,7,92,3,6,15.098255557757403,15.070493807790394
95,4,16.004,16.088,16.041,7,92,9,14,15.887785600536125,16.03531639732246
96,5,16.098,16.226,16.155,7,92,10,17,16.15218983247317,16.152190932644274
97,6,17.031,17.122,17.081,7,92,18,27,17.084047987750232,17.077882848962304
98,7,17.125,17.259,17.182000000000002,7,92,19,28,17.17887714813634,17.178833528047246
99,0,14.71,14.794,14.76,8,92,1,2,14.767794573208272,14.767794573208272
100,1,14.847999999999999,14.895,14.890999999999998,8,92,2,3,14.914732747717288,14.914879540385458
101,2,14.895,14.965,14.921,8,92,2,4,14.93663638489459,14.914879540385458
102,3,14.975,15.089,15.032,8,92,3,5,15.060365429256013,15.070493807790394
103,4,15.17,15.2,15.175999999999998,8,92,4,9,15.176721350223145,15.151234637803341
104,5,15.277000000000001,15.314,15.304,8,92,5,10,15.297791348061047,15.297791348061047
105,6,15.545,15.71,15.602,8,92,6,12,15.614688706698338,15.615016400515374
106,7,15.814,15.911,15.854000000000001,8,92,8,14,15.887785600536125,15.8707250973198
107,8,15.937999999999999,16.076,16.019000000000002,8,92,9,15,16.008996684978747,16.03531639732246
108,9,16.079,16.183,16.123,8,92,10,17,16.15218983247317,16.152190932644274
109,10,16.378,16.410999999999998,16.378,8,92,12,19,16.39376036963959,16.38191514747558
110,11,16.703,16.773,16.75,8,92,15,23,16.768314623435607,16.76831462343561
111,12,16.777,16.857,16.804000000000002,8,92,16,24,16.820439674030673,16.82503476397018
112,13,16.861,16.948,16.891,8,92,17,26,16.908535934317765,16.908535934317765
113,14,16.980999999999998,17.125999999999998,17.042,8,92,18,25,16.86693692571636,17.077882848962304
114,15,17.243,17.287,17.243,8,92,-1,30,17.243,17.243
115,16,17.371,17.471,17.408,8,92,20,31,17.421538031378084,17.42194889563897
116,0,14.552999999999999,14.67,14.613,9,92,0,0,14.617083014540764,14.61697520364879
117,1,14.855,14.982000000000001,14.908,9,92,2,3,14.914732747717288,14.914879540385458
118,2,14.989,15.103,15.046,9,92,3,5,15.060365429256013,15.070493807790394
119,3,14.989,15.145999999999999,15.106,9,92,3,6,15.098255557757403,15.070493807790394
120,4,16.096,16.197,16.146,9,92,10,17,16.15218983247317,16.152190932644274
121,5,17.072,17.113,17.072,9,92,18,27,17.084047987750232,17.077882848962304
122,6,17.119,17.24,17.176,9,92,19,28,17.17887714813634,17.178833528047246
123,0,14.864,14.968,14.911,10,92,2,3,14.914732747717288,14.914879540385458
124,1,14.992,15.116,15.052,10,92,3,5,15.060365429256013,15.070493807790394
125,2,15.562000000000001,15.747,15.619000000000002,10,92,6,12,15.614688706698338,15.615016400515374
126,3,15.837,15.927999999999999,15.874,10,92,8,14,15.887785600536125,15.8707250973198
127,4,15.958,16.092,16.039,10,92,9,15,16.008996684978747,16.03531639732246
128,5,16.096,16.206,16.153,10,92,10,17,16.15218983247317,16.152190932644274
129,6,16.317,16.441,16.391,10,92,12,19,16.39376036963959,16.38191514747558
130,7,16.715999999999998,16.797,16.773,10,92,15,23,16.768314623435607,16.76831462343561
131,8,16.8,16.881,16.824,10,92,16,25,16.86693692571636,16.82503476397018
132,9,17.005,17.136,17.079,10,92,18,27,17.084047987750232,17.077882848962304
133,10,17.139,17.247,17.179000000000002,10,92,19,28,17.17887714813634,17.178833528047246
134,11,17.371,17.485,17.428,10,92,20,31,17.421538031378084,17.42194889563897
135,0,14.549000000000001,14.665999999999999,14.613,11,92,0,0,14.617083014540764,14.61697520364879
136,1,14.857999999999999,14.982000000000001,14.908,11,92,2,3,14.914732747717288,14.914879540385458
137,2,14.989,15.116,15.056,11,92,3,5,15.060365429256013,15.070493807790394
138,3,15.562000000000001,15.732999999999999,15.619000000000002,11,92,6,12,15.614688706698338,15.615016400515374
139,4,15.764000000000001,15.844000000000001,15.814,11,92,7,14,15.887785600536125,15.81542460405248
140,5,15.870999999999999,15.925,15.870999999999999,11,92,8,15,16.008996684978747,15.8707250973198
141,6,15.988,16.086,16.035,11,92,9,16,16.035956669420155,16.03531639732246
142,7,16.092,16.22,16.149,11,92,10,17,16.15218983247317,16.152190932644274
143,8,17.022000000000002,17.119,17.075,11,92,18,27,17.084047987750232,17.077882848962304
144,9,17.122,17.257,17.173,11,92,19,28,17.17887714813634,17.178833528047246
145,0,14.548,14.588,14.588,12,92,0,0,14.617083014540764,14.61697520364879
146,1,14.85,14.91,14.902999999999999,12,92,2,3,14.914732747717288,14.914879540385458
147,2,14.991,15.107999999999999,15.050999999999998,12,92,3,5,15.060365429256013,15.070493807790394
148,3,15.110999999999999,15.172,15.135,12,92,4,8,15.136924726796751,15.151234637803341
149,4,15.558,15.755999999999998,15.615,12,92,6,12,15.614688706698338,15.615016400515374
150,5,15.84,15.923,15.873,12,92,8,14,15.887785600536125,15.8707250973198
151,6,15.984000000000002,16.090999999999998,16.037,12,92,9,15,16.008996684978747,16.03531639732246
152,7,16.098,16.209,16.152,12,92,10,17,16.15218983247317,16.152190932644274
153,8,16.729,16.796,16.772000000000002,12,92,15,23,16.768314623435607,16.76831462343561
154,9,16.799,16.87,16.829,12,92,16,25,16.86693692571636,16.82503476397018
155,10,16.873,16.957,16.913,12,92,17,26,16.908535934317765,16.908535934317765
156,11,17.01,17.118,17.081,12,92,18,27,17.084047987750232,17.077882848962304
157,12,17.125,17.249000000000002,17.175,12,92,19,28,17.17887714813634,17.178833528047246
158,13,17.373,17.48,17.43,12,92,20,31,17.421538031378084,17.42194889563897
159,0,14.559000000000001,14.66,14.616,13,92,0,0,14.617083014540764,14.61697520364879
160,1,14.857999999999999,14.982000000000001,14.915,13,92,2,3,14.914732747717288,14.914879540385458
161,2,14.995999999999999,15.123,15.065999999999999,13,92,3,5,15.060365429256013,15.070493807790394
162,3,15.569,15.757,15.626,13,92,6,12,15.614688706698338,15.615016400515374
163,4,15.767000000000001,15.850999999999999,15.818,13,92,7,14,15.887785600536125,15.81542460405248
164,5,15.857999999999999,15.937999999999999,15.878,13,92,8,15,16.008996684978747,15.8707250973198
165,6,16.002,16.083,16.046,13,92,9,16,16.035956669420155,16.03531639732246
166,7,16.102999999999998,16.22,16.156,13,92,10,17,16.15218983247317,16.152190932644274
167,8,16.354,16.432000000000002,16.398,13,92,12,19,16.39376036963959,16.38191514747558
168,9,16.505,16.586,16.546,13,92,14,21,16.54003087125514,16.54003087125514
169,10,16.589000000000002,16.625999999999998,16.623,13,92,-1,22,16.622508032428158,16.623
170,11,16.737000000000002,16.801,16.774,13,92,15,23,16.768314623435607,16.76831462343561
171,12,16.804000000000002,16.881,16.834,13,92,16,25,16.86693692571636,16.82503476397018
172,13,17.039,17.123,17.082,13,92,18,27,17.084047987750232,17.077882848962304
173,14,17.125999999999998,17.25,17.183,13,92,19,28,17.17887714813634,17.178833528047246
174,15,17.398,17.428,17.428,13,92,20,31,17.421538031378084,17.42194889563897
175,0,14.993,15.110999999999999,15.05,14,92,3,5,15.060365429256013,15.070493807790394
176,1,15.258,15.345,15.298,14,92,5,10,15.297791348061047,15.297791348061047
177,2,15.557,15.720999999999998,15.614,14,92,6,12,15.614688706698338,15.615016400515374
178,3,15.839,15.919,15.872,14,92,8,14,15.887785600536125,15.8707250973198
179,4,15.985999999999999,16.09,16.037,14,92,9,15,16.008996684978747,16.03531639732246
180,5,16.094,16.198,16.147000000000002,14,92,10,17,16.15218983247317,16.152190932644274
181,6,16.315,16.433,16.386,14,92,12,19,16.39376036963959,16.38191514747558
182,7,16.449,16.512999999999998,16.453,14,92,13,20,16.448454631799272,16.448454631799272
183,8,16.727999999999998,16.792,16.771,14,92,15,23,16.768314623435607,16.76831462343561
184,9,16.822,16.862000000000002,16.825,14,92,16,24,16.820439674030673,16.82503476397018
185,10,16.865,16.973,16.906,14,92,17,26,16.908535934317765,16.908535934317765
186,11,17.0,17.13,17.077,14,92,18,27,17.084047987750232,17.077882848962304
187,12,17.134,17.244,17.174,14,92,19,28,17.17887714813634,17.178833528047246
188,13,17.362000000000002,17.489,17.419,14,92,20,31,17.421538031378084,17.42194889563897
189,0,14.863,14.984000000000002,14.91,15,92,2,3,14.914732747717288,14.914879540385458
190,1,14.987,15.118,15.050999999999998,15,92,3,5,15.060365429256013,15.070493807790394
191,2,15.182,15.215,15.192,15,92,4,9,15.176721350223145,15.151234637803341
192,3,15.275,15.306,15.306,15,92,5,10,15.297791348061047,15.297791348061047
193,4,15.561,15.738,15.618,15,92,6,12,15.614688706698338,15.615016400515374
194,5,15.839,15.925999999999998,15.876,15,92,8,14,15.887785600536125,15.8707250973198
195,6,15.963,16.090999999999998,16.037,15,92,9,15,16.008996684978747,16.03531639732246
196,7,16.094,16.208,16.151,15,92,10,17,16.15218983247317,16.152190932644274
197,8,16.212,16.302,16.259,15,92,11,18,16.22983361429619,16.25402327528519
198,9,16.715,16.789,16.772000000000002,15,92,15,23,16.768314623435607,16.76831462343561
199,10,16.792,16.875999999999998,16.829,15,92,16,25,16.86693692571636,16.82503476397018
200,11,16.879,16.95,16.916,15,92,17,26,16.908535934317765,16.908535934317765
201,12,17.003,17.121,17.074,15,92,18,27,17.084047987750232,17.077882848962304
202,13,17.131,17.252,17.174,15,92,19,28,17.17887714813634,17.178833528047246
203,14,17.369,17.49,17.433,15,92,20,31,17.421538031378084,17.42194889563897
204,0,14.868,14.985999999999999,14.939,16,92,2,3,14.914732747717288,14.914879540385458
205,1,14.992,15.113,15.052999999999999,16,92,3,5,15.060365429256013,15.070493807790394
206,2,15.16,15.18,15.167,16,92,4,9,15.176721350223145,15.151234637803341
207,3,15.562999999999999,15.734000000000002,15.616,16,92,6,12,15.614688706698338,15.615016400515374
208,4,15.841,15.925,15.878,16,92,8,14,15.887785600536125,15.8707250973198
209,5,15.972000000000001,16.093,16.039,16,92,9,15,16.008996684978747,16.03531639732246
210,6,16.096,16.207,16.15,16,92,10,17,16.15218983247317,16.152190932644274
211,7,16.381,16.432000000000002,16.385,16,92,12,19,16.39376036963959,16.38191514747558
212,8,16.72,16.797,16.774,16,92,15,23,16.768314623435607,16.76831462343561
213,9,16.801,16.868,16.828,16,92,16,24,16.820439674030673,16.82503476397018
214,10,16.871,16.999000000000002,16.908,16,92,17,26,16.908535934317765,16.908535934317765
215,11,17.002,17.136,17.073,16,92,18,27,17.084047987750232,17.077882848962304
216,12,17.14,17.244,17.183,16,92,19,28,17.17887714813634,17.178833528047246
217,13,17.375,17.499000000000002,17.428,16,92,20,31,17.421538031378084,17.42194889563897
218,0,14.552999999999999,14.68,14.616,17,92,0,0,14.617083014540764,14.61697520364879
219,1,14.857999999999999,14.989,14.915,17,92,2,3,14.914732747717288,14.914879540385458
220,2,14.992,15.123,15.065999999999999,17,92,3,5,15.060365429256013,15.070493807790394
221,3,15.133,15.183,15.133,17,92,4,8,15.136924726796751,15.151234637803341
222,4,15.579,15.657,15.623,17,92,6,12,15.614688706698338,15.615016400515374
223,5,16.005,16.039,16.039,17,92,9,14,15.887785600536125,16.03531639732246
224,6,16.102999999999998,16.217,16.156,17,92,10,17,16.15218983247317,16.152190932644274
225,7,16.307000000000002,16.432000000000002,16.385,17,92,12,19,16.39376036963959,16.38191514747558
226,8,16.505,16.586,16.546,17,92,14,21,16.54003087125514,16.54003087125514
227,9,16.73,16.801,16.774,17,92,15,23,16.768314623435607,16.76831462343561
228,10,16.804000000000002,16.885,16.834,17,92,16,25,16.86693692571636,16.82503476397018
229,11,16.915,16.958,16.915,17,92,17,26,16.908535934317765,16.908535934317765
230,12,17.032,17.123,17.082,17,92,18,27,17.084047987750232,17.077882848962304
231,13,17.125999999999998,17.257,17.18,17,92,19,28,17.17887714813634,17.178833528047246
232,14,17.398,17.425,17.425,17,92,20,31,17.421538031378084,17.42194889563897
233,0,14.744000000000002,14.770999999999999,14.770999999999999,18,92,1,2,14.767794573208272,14.767794573208272
234,1,14.862,14.982999999999999,14.912,18,92,2,3,14.914732747717288,14.914879540385458
235,2,14.985999999999999,15.117,15.05,18,92,3,5,15.060365429256013,15.070493807790394
236,3,15.261,15.342,15.298,18,92,5,10,15.297791348061047,15.297791348061047
237,4,15.552999999999999,15.738,15.613,18,92,6,12,15.614688706698338,15.615016400515374
238,5,15.838,15.929,15.872,18,92,8,14,15.887785600536125,15.8707250973198
239,6,15.993,16.076,16.035999999999998,18,92,9,15,16.008996684978747,16.03531639732246
240,7,16.12,16.197,16.154,18,92,10,17,16.15218983247317,16.152190932644274
241,8,16.301,16.432000000000002,16.378,18,92,12,19,16.39376036963959,16.38191514747558
242,9,16.439,16.519000000000002,16.456,18,92,13,20,16.448454631799272,16.448454631799272
243,10,16.724,16.791,16.768,18,92,15,23,16.768314623435607,16.76831462343561
244,11,16.794,16.872,16.820999999999998,18,92,16,25,16.86693692571636,16.82503476397018
245,12,16.875,16.969,16.912,18,92,17,26,16.908535934317765,16.908535934317765
246,13,17.006,17.127,17.076,18,92,18,27,17.084047987750232,17.077882848962304
247,14,17.13,17.241,17.174,18,92,19,28,17.17887714813634,17.178833528047246
248,15,17.358,17.486,17.422,18,92,20,31,17.421538031378084,17.42194889563897
249,0,14.546,14.66,14.61,19,92,0,0,14.617083014540764,14.61697520364879
250,1,14.857999999999999,14.982000000000001,14.908,19,92,2,3,14.914732747717288,14.914879540385458
251,2,14.985999999999999,15.113,15.052999999999999,19,92,3,5,15.060365429256013,15.070493807790394
252,3,15.13,15.18,15.133,19,92,4,8,15.136924726796751,15.151234637803341
